year,Female,Male,Total
1985,           109,              68,           177
1986,           108,              69,           177
1987,           106,              68,           174
1988,           106,              65,           171
1989,           105,              65,           170
1990,           104,              65,           169
1991,           103,              65,           168
1992,           102,              64,           167
1993,           102,              64,           166
1994,           101,              64,           164
1995,           100,              64,           163
1996,              98,              63,           162
1997,              93,              61,           154
1998,              91,              57,           147
1999,              89,              57,           146
2000,              88,              56,           144
2001,              89,              58,           146
2002,              87,              56,           143
2003,              86,              54,           140
2004,              81,              52,           134
2005,              83,              51,           134
2006,              82,              52,           133
2007,              80,              53,           133
2008,              77,              50,           126
2009,              75,              50,           125
2010,              74,              51,           125
2011,              71,              51,           122
2012,              68,              48,           117
2013,              66,              47,           113
2014,              63,              46,           109
2015,              61,              45,           106
2016,              59,              45,           104
2017,              57,              44,           102
2018,              56,              44,           100
